age,gender,highest_education,current_occupation,major,randomID
20,2,2,6,,33Grn
20,1,2,1,Civil Engineering,Bat67
18,1,1,6,,Hen23
18,2,2,1,Accounting,Pnk16
18,1,2,1,Robotics Engineering,43Cub
18,2,2,1,Economics,Cat90
21,2,2,1,Pharmacy,Yel16
19,2,1,1,,80Bee
22,1,2,1,Business Analytics,56Lime
21,2,2,1,Anthropology and Religious Studies,84Tan
21,2,2,1,Public Policy and Law,76Yak
19,2,2,1,Physics,39Mag
28,2,3,1,Business Analytics and Supply Chain Management ,Cod74
21,2,2,1,Environmental Science and music,28Cow
21,2,2,1,Math and music ,Teal15
21,2,2,1,Music and Francophone Studies,61Pig
18,2,1,1,,63Tan
18,2,2,1,Nursing,89Ape
23,1,3,2,,12Yak
34,2,3,1,Civil Engineering,9Ape
22,2,2,1,Human Rights and Studio Arts,Hen96
22,2,1,1,,42Yak
21,1,2,1,Data Science,55Pur
22,2,2,1,Pharmacy,90Lime
21,2,2,1,English,Gray79
22,1,2,1,Computer Science,85Blu
21,2,2,1,Biology,Bee7
20,1,2,1,Finance,87Navy
19,1,2,1,Molecular and Cell Bio,67Pnk
20,2,1,1,,Hen9
20,2,1,1,,49Fox
20,3,2,1,"Speech, Language, and Hearing Sciences",17Grn
19,1,1,1,,30Tan
20,2,2,1,psychology,Ant88
20,2,2,1,Biomedical Engineering,Owl67
20,2,2,1,Undecided,Blu64
20,2,2,1,Biology,33Dog
27,2,3,1,Chemistry,96Ram
19,2,1,1,,70Elk
20,2,2,1,Public Policy and Law ,29Pur
39,1,4,2,,Ant85
35,2,4,1,Dentistry,63Blk
21,2,2,1,Art History,54Cow
21,2,2,1,Economics,28Hen
21,2,1,1,,Cat28
21,2,2,1,Anthropology,70Yel
21,2,2,1,Speech Pathology,61Cod
41,1,2,2,,88Tan
23,2,1,1,,46Cub
20,2,1,1,,Ram52
19,5,2,1,Animal Science,Lav89
19,2,2,1,"Public Policy & Law, Urban Studies",50Fox
