"Please login using your study username and password.

Username:",How much do you feel your understanding of phishing websites has improved?,How much do you feel the MobyPhish extension improved your ability to detect fishing attacks?,"Without using the MobyPhish extension, how likely are you to check the domain name (URL) of a website to determine if it is a phishing website?
name (URL) of a website to determine if it is a phishing website?","Without using the MobyPhish extension, how likely are you to check the SSL certificate of a website to determine if it is a phishing website?","If it were available, would you use MobyPhish or a similar extension on your own
device after the study?",How easy was it to use the MobyPhish extension?,How satisfied are you with the MobyPhish extension?,What aspects of the MobyPhish extension did you find most useful? Please explain.,What aspects of the MobyPhish extension did you find most challenging or confusing? Please explain.,Were there any specific features or functionalities you wished the MobyPhish extension had? Any features or functionalities you would like to see removed? Please explain.,Do you have any other comments or suggestions regarding the MobyPhish extension?
33Grn,Considerable Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Yes,Very Easy,Very Satisfied,The simplicity and easy user interface. You just click it once and it gives you an answer. ,"Only adding a new website, but even that wasn't particularly challenging","No, I like the simplicity of it. ","Keep it as simple as possible, that's how you'll keep people using it. "
Bat67,Slight Improvement,Moderate Improvement,Likely,Very Unlikely,Probably Not,Easy,Satisfied,The blocker warning is useful. It is nice that you can save a list of sites as well. ,Understanding how exactly setting sites as protected was a bit confusing. ,"I think having a common database, well im not sure if there is one, but listing that would be helpful. ",no.
Hen23,Considerable Improvement,Moderate Improvement,Unlikely,Very Unlikely,Probably Yes,Very Easy,Satisfied,I think its useful that it tells you when something has been changed about a website. I find it very helpful you can also add the websites you want to be protected.,I was initially confused on how the extension would work during the simulation because I did not know that it had already added the bank to the protected website. I was also confused on how to add a website to the MobyPhish extension.  ,"It would be nice if the MobyPhish extension said from what issuer the website changed from to the new issuer. I'm not sure if I am remembering correctly either, but it would also be nice if the MobyPhish extension pointed out the error in the url spelling if it was wrong. Also, it would be nice to have MobyPhish automated, rather than having to go and click on the fish each time on the protected website.","It would be nice if MobyPhish worked for emails as well, as there are some phishing emails getting sent to UConn students."
Pnk16,Considerable Improvement,Slight Improvement,Unlikely,Very Unlikely,Probably Yes,Easy,Neutral,I found it most useful how easy it was to report a site. It was also useful when I would get a flashing/pop up message saying that something had changed on the website and to be cautious.,"I am still a bit confused on how to use the extension, such as do I have to click on the extension every time I think a website is suspicious, or will it notify me without clicking?","I wish the extension had more pop-up or banner messages to display a possible phishing scam, or a way to investigate if the website is a scam or not.","No
"
43Cub,Considerable Improvement,Considerable Improvement,Unlikely,Unlikely,Yes,Very Easy,Very Satisfied,The quick reaction it had and how it makes sure you are alert,How to install it and to add websites to the list,automatic closing of the fraudulent websites,I really like it and it would be very helpful in real life circumstances
Cat90,Considerable Improvement,Moderate Improvement,Very Unlikely,Very Unlikely,Maybe,Easy,Neutral,I appreciated that it constantly reminded me when I needed to research the website to decide if it was safe or not. I appreciated that I could just click the fish icon and it would verify that the website I was using was safe.,"I found the warnings relatively useful but the constant clicking and checking the certificate and the fish is surprisingly time consuming. Some malware extensions detect it automatically. It seems to alert me if that I'm going to be entering personal info, and reminds me that I should probably should probably check if the website is secure instead of analyzing whether or not the website is secure for me. Especially with the URLs, people can easily fall victim to a simple missed letter.",I wish that I did not have to constantly check and be proactive (inertia am I right?) in my own security. I think it is very functional but it misses the fact that people would rather be lazy and do nothing unless blocked from the website due to the extension blocking it because it knows there is malware.,Just remember that people have inertia.
80Bee,Slight Improvement,Moderate Improvement,Neutral,Unlikely,Probably Yes,Easy,Satisfied,The report button was useful to immediately report any phishing websites.,None - the extension was fairly simple to use.,None,No
Yel16,Moderate Improvement,Considerable Improvement,Unlikely,Very Unlikely,Maybe,Easy,Satisfied,"It was most useful that the extension checked the SSL link for me. It is easier for me to double check the link, so I would be more likely to do that on my own.","Adding one website was easy, but a challenge would be remembering to add all websites that have my personal information.",None,None
56Lime,Moderate Improvement,Moderate Improvement,Neutral,Unlikely,Yes,Very Easy,Satisfied,The Minimalistic feature of Categorizing the Website Safety was very much useful without spending much of time on checking the Information.,I have not found any aspect to be confusing,Grouping of Websites as Category lists could be one feature to enhance User navigation within the extension and an easy search option,Nothing
84Tan,Considerable Improvement,Significant Improvement,Likely,Unlikely,Yes,Very Easy,Satisfied,"I liked how accessible the whole extension was, especially the fact it only took one click rather than three to see if it was a phishing site. ",None.,"If possible, I would like to see a list of the safe sites as an option on the extension (if it isn't already there).",None
76Yak,Considerable Improvement,Significant Improvement,Very Unlikely,Very Unlikely,Yes,Very Easy,Very Satisfied,The convenience of having an automatic vetting extension rather than manually checking the authenticity of a site. ,N/A,N/A,N/A
